package,pi_type,has_policy,in_policy,status,policy_url,policy_matches
admobileapps.kpopmp3,Address Line 1,False,N/A,NO POLICY - could not retrieve,,
admobileapps.kpopmp3,Address Line 2,False,N/A,NO POLICY - could not retrieve,,
admobileapps.kpopmp3,City,False,N/A,NO POLICY - could not retrieve,,
admobileapps.kpopmp3,Country,False,N/A,NO POLICY - could not retrieve,,
admobileapps.kpopmp3,Email Address,False,N/A,NO POLICY - could not retrieve,,
admobileapps.kpopmp3,Name,False,N/A,NO POLICY - could not retrieve,,
admobileapps.kpopmp3,Password,False,N/A,NO POLICY - could not retrieve,,
admobileapps.kpopmp3,Postal Code,False,N/A,NO POLICY - could not retrieve,,
admobileapps.kpopmp3,State,False,N/A,NO POLICY - could not retrieve,,
admobileapps.kpopmp3,Username,False,N/A,NO POLICY - could not retrieve,,
ae.smartv.stmobile,Date Range,True,False,VIOLATION - collected but NOT disclosed,https://st-cloud.smartime.ae/STmobileAppPolicy/policy.html,
ae.smartv.stmobile,Date of Birth,True,False,VIOLATION - collected but NOT disclosed,https://st-cloud.smartime.ae/STmobileAppPolicy/policy.html,
ae.smartv.stmobile,Email Address,True,True,OK - collected and disclosed,https://st-cloud.smartime.ae/STmobileAppPolicy/policy.html,
ae.smartv.stmobile,Password,True,False,VIOLATION - collected but NOT disclosed,https://st-cloud.smartime.ae/STmobileAppPolicy/policy.html,
ae.smartv.stmobile,User Name,True,False,VIOLATION - collected but NOT disclosed,https://st-cloud.smartime.ae/STmobileAppPolicy/policy.html,
ae.smartv.stmobile,Username,True,False,VIOLATION - collected but NOT disclosed,https://st-cloud.smartime.ae/STmobileAppPolicy/policy.html,
ai.art.generator.design,Date,False,N/A,NO POLICY - could not retrieve,,
air.com.nhncorp.jrapp,Date,False,N/A,NO POLICY - could not retrieve,,
air.com.nhncorp.jrapp,Date of Birth,False,N/A,NO POLICY - could not retrieve,,
air.com.nhncorp.jrapp,Gender,False,N/A,NO POLICY - could not retrieve,,
air.com.nhncorp.jrapp,Nickname,False,N/A,NO POLICY - could not retrieve,,
air.com.unit9.bkFrApp,Date of Birth,True,False,VIOLATION - collected but NOT disclosed,https://www.burgerking.fr/page/donnees-personnelles,
air.com.unit9.bkFrApp,Date of birth or date range,True,False,VIOLATION - collected but NOT disclosed,https://www.burgerking.fr/page/donnees-personnelles,
app.amptify,Date,False,N/A,NO POLICY - could not retrieve,,
