package,url,status
com.duolingo,https://www.duolingo.com/privacy,success
com.spotify.music,https://www.spotify.com/legal/privacy-policy/,success
com.instagram.android,http://instagram.com/legal/privacy/,success
com.whatsapp,https://www.whatsapp.com/legal/privacy-policy,success
com.snapchat.android,http://www.snapchat.com/privacy,success
com.twitter.android,http://twitter.com/privacy,"url found, download failed"
com.facebook.katana,https://www.facebook.com/about/privacy/,success
com.netflix.mediaclient,http://www.netflix.com/privacy,success
com.amazon.mShop.android.shopping,https://www.amazon.com/gp/help/customer/display.html?ie=UTF8&nodeId=468496,"url found, download failed"
com.google.android.youtube,http://www.google.com/policies/privacy,success
com.zte.bamachaye,,not found
com.calistree.calistree,https://calistree.com/privacy-policy/,"url found, download failed"
com.firstchoice.myfirstchoice,,already done
br.com.winker.wl.villesainteanne,,not found
com.rcdnc.cafezinho,https://www.ocafezinho.app/privacy-policy.html,success
com.vplan.go_android,https://vplan.com/nl/legal/privacy-policy,success
com.boombitgames.Tiny2,http://boombit.com/privacy-policy/,success
com.springtechsolutions.sunnahradio,https://sunnahlive.com/radio/privacy.php,success
app.stretchminder.android,https://stretchminder.app/privacy,success
com.appautomatic.ankulua.trial,,not found
com.northcube.sleepcycle,https://www.sleepcycle.com/privacy-policy/,success
freshpicks2.android.app,,not found
com.rainbowgames.solitairedetective,http://rainbow-games.com/privacy-android,success
com.congo.actualite,,not found
com.jefferson.horaminutosegundo,https://www.termsfeed.com/live/234a4d2b-f9ba-461c-b43f-3728b498c014,success
com.songshuedu.taoliapp,,not found
com.fitnessmobileapps.core40amsterdam,https://www.mindbodyonline.com/privacy-policy,success
com.groovin.livedesivideochat,,not found
com.menesapps.senet2,https://www.ancientgames.fr/policy.html,success
com.smartsound.skeeperheart,,not found
com.tradergenius,,not found
au.com.ratemoney,https://online.originmms.com.au/ib/ratemoney/Privacy,success
com.hatem.bilal,https://sites.google.com/view/bilal-88/%D8%A7%D9%84%D8%B5%D9%81%D8%AD%D8%A9-%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3%D9%8A%D8%A9,success
com.uc.vmate,,not found
com.baum.loyalty.sublinds,https://lealto.com/politica-de-privacidad-sublinds/,"url found, download failed"
air.com.jeuxdefille.ChickenCookinggame,,not found
au.com.cacu.android,,not found
com.i4joy.armyofallies,,not found
com.burhanrashid52.SelfieWithJennieBlackpinkkpop,,not found
ie.flipdish.fd13404,,not found
com.swidrinc.galaxywallpaper2023,https://www.swidrincapps.com/,success
com.ydrive.pax,https://www.ydriveapp.com/security,success
admobileapps.kpopmp3,,not found
com.mobincube.android.sc_91T73,,not found
com.picmonic.androidapp,https://www.picmonic.com/pages/privacy-policy/,success
com.gppro.koloclean,https://www.gppro.com/kolocleanprivacy,success
com.JokersMatchMadness.Game,,not found
com.ninnguyen.aisolver,https://ninnstudio.com/privacy.html,success
com.tinylabproductions.pirates,,not found
com.superfanu.oilcityhighschooloilers,,not found
ie.imec.incident,http://imectechnologies.com/privacy,success
com.auctionmobility.auctions.vinpresariowineauctions,,not found
com.echo.voice,https://www.echochat.live/policy-of-privacy,success
com.ums.ticketing.iso,https://www.ebluu.com/Legal/PrivacyPolicy,success
com.teammt.gmanrainy.themestore,https://pro-teammt.ru/projects/hwtf/other/privacy_policy.html,success
com.kbcard.kat.liivmate,,not found
ai.art.generator.design,,not found
com.avast.android.secure.browser,https://www.avast.com/privacy,success
com.bytetyper.racing,,not found
com.app.goodburgerandmore,,not found
com.klikin.pizzeriatoto,,not found
eplusmoment.ds.dfd,http://www.eplusmoment.com/#privacy,success
com.ifs.banking.fiid5372,https://www.qnbtrust.bank/Privacy-Security-Policies/Mobile-Privacy-Policy,success
com.wellwithdiabetes.cukrzyca.diet,https://cukrzyca.pl/polityka-prywatnosci,success
com.airkast.KCSFAM,https://www.xtrasports1300.com/privacy,success
com.Sapp.FruitSlot,https://sunnyapptech.blogspot.com/2019/05/privacy-policy.html,success
quran.tilawatequran.SheikhNaifalfaisal,https://kuranmp3offline.blogspot.com/2020/11/privacy-policy.html,success
com.sketchye.draw_cars_concept,https://myappterms.com/reader.php?id=1,success
com.netpulse.mobile.creekbridgefitness,,not found
br.com.winker.wl.apice,,not found
com.thehealthymummy,https://www.healthymummy.com/privacy-policy/,"url found, download failed"
co.lynde.svfmk,https://privacy-policy.courses.store/xflerr,success
com.recisio.kfandroid,http://www.karafun.fr/privacy.html,success
com.mydiarynotebook.mydiarynoteb,,not found
com.gravitas.etnet,http://www.etnet.com.hk/www/tc/aboutus/privacy.php,success
com.GoldStudio.TurtleParkour,,not found
com.discord,https://discordapp.com/privacy/,success
de.delitoon,https://www.delitoon.de/privacy,success
com.ncbhk.mortgage.android.hk,,not found
com.dhcomms_mansecalendar,http://www.dhcomms.com/apps/terms/mansecalendar/privacy.html,success
